title,link,content
"'애벌레 빼빼로' 논란에 롯데제과 ""유통과정서 들어간 듯""",http://finance.daum.net/news/20181112192558952,"【서울=뉴시스】박정규 기자 = 롯데제과의 빼빼로 일부 제품에서 애벌레가 나온 것으로 알려지면서 논란이 일고 있다. 이에 대해 롯데제과 측은 ""유통과정에서 들어간 것으로 보인다""고 해명했다.
12일 롯데제과 등에 따르면 한 소비자가 지난 11일 구입한 롯데제과의 '누드빼빼로'에서 10마리 내외로 추정되는 애벌레가 과자에 달라붙은 채 발견됐다.
해당 제품은 지난 4월 중순 제조된 제품으로 마트에서 구입했으며 해당 소비자 측은 이를 롯데제과 고객센터와 한국소비자원에 알린 것으로 전해졌다.
이에 대해 롯데제과 측은 제조과정이 아닌 유통과정에서 발생한 벌레일 것이라는 입장이다. 이미 생산된 지 7개월이 지난 제품의 제조과정에서 벌레나 알이 들어갔다면 아직까지 애벌레로 살아있다는 게 말이 되지 않는다는 것이다.
롯데제과 관계자는 ""해당 소비자를 만나 검사를 해서 원인을 규명하겠다고 했지만 샘플을 받지 못했다""며 ""구매처에서 다른 샘플을 샀는데 문제는 없었다""고 말했다.
이어 ""유통과정상 벌레가 침투해 알을 낳은 것으로 보인다""며 ""해당일자의 생신시설 및 관리기록 등을 점검하고 있다""고 전했다.
pjk76@newsis.com"
코스피 이틀연속 하락 2080 마감..증권사가 전망한 내년 고점은?,http://finance.daum.net/news/20181112192153871,"코스피가 2거래일째 하락했지만 외국인·기관 순매수에 장막판 상승하며 2080선을 지켰다. 코스닥은 2%대 하락하며 670선까지 떨어졌다.
코스피는 12일 전거래일보다 5.65포인트(0.27%) 하락한 2080.44로 장을 마감했다. 지난 9일 이후 2거래일 연속 하락이다. 지수는 20.17포인트(0.97%) 내린 2,065.92로 출발한 후 장중 한때는 외국인과 기관의 ‘사자’에 낙폭을 만회했다. 하지만 셀트리온과 삼성바이오로직스 급락 여파로 반등은 실패했다.
셀트리온은 3분기 연결기준 영업이익이 736억원으로 지난해 같은 기간보다 44.2% 줄어 어닝쇼크를 기록했다. 삼성바이오로직스는 분식회계 혐의에 대한 최종 판단이 14일 증권선물위원회에서 이뤄질 전망이라 불안감이 확대됐다. 때문에 셀트리온은 이날 11.98% 내린 20만2천원에, 삼성바이오로직스는 22.42% 내린 28만5천500원에 거래를 마쳤다.
12일 오후 서울 중구 명동 KEB 하나은행 딜링룸에 이날 코스피, 코스닥 종가와 원/달러, 원/위안 거래가 표시돼 있다. 이날 코스피는 제약·바이오 주 급락으로 2,080.44 하락 마감됐고, 코스닥은 전 거래일 대비 2.4% 내려 670.82로 장을 마쳤다. 연합뉴스 제공사진
코스닥은 전날보다 16.47포인트(2.40%) 내린 670.82에 거래를 마쳤다. 지난 9일 이후 이틀 연속 하락이다.
개인이 727억원을 홀로 순매수했다. 외국인과 기관은 484억원, 387억원씩 순매도다. 기관은 지난 31일 이후 9거래일 연속 코스닥 시장에서 순매도다.
서울 외환시장에서 원·달러 환율은 전날보다 5.6원 오른(달러 강세) 1133.9원에 장을 마쳤다.
이날 유가증권 시장은 셀트리온 어닝 쇼크, 삼성바이오로직스 회계 이슈를 둘러싼 논란이 제약·바이오 업종 전반의 고밸류 부담과 함께 불확실성으로 작용한 것으로 관측된다.
한편, 이날 증권사들은 내년 증시 전망 보고서를 내놓으며 코스피보다 코스닥에 대해 눈높이를 더 낮춰야 한다고 조언했다.
대부분 증권사는 내년 코스피지수 저점을 1900, 고점은 2400선 안팎을 예상했다.
신한금융투자는 내년 코스피가 1850~2350선에서 움직일 것으로 예상했다. KB증권은 내년 코스피지수를 1900~2370선으로 봤다. 대신증권, 하나금융투자, 메리츠종금증권도 저점 1900~1920, 고점은 2340~2400선으로 예상했다.
손봉석 기자 paulsohn@kyunghyang.com"
"""내년 정부 특활비 234억 엉뚱한 곳에 배정""",http://finance.daum.net/news/20181112192103861,"[서울신문]내년도 정부 예산안에 편성된 특수활동비 약 2800억원 가운데 234억원(8.4%)이 여전히 취지에서 벗어나 엉뚱한 곳에 배정됐다는 지적이 나왔다.
참여연대 행정감시센터는 12일 공개한 이슈리포트 ‘2019년 예산안 특수활동비 편성 사업 점검 및 평가’에서 국가정보원을 제외한 14개 기관의 45개 특활비 사업 가운데 6개 기관의 21개 사업에 들어가는 234억 7500만원이 편성 목적에 맞지 않는다고 주장했다. 특활비의 본래 용도는 ‘기밀 유지를 요구하는 정보수집이나 수사 활동에 사용되는 예산’을 말한다.
참여연대가 꼽은 부적정 특활비 규모가 가장 큰 기관은 법무부였다. 국가송무 수행 및 공익법무관 운영, 국제거래 및 국제통상 법률지원, 인권국 기본경비, 외국인 체류질서 확립, 외국인본부 기본경비, 출입국사무소 운영기본경비, 교정교화, 교정본부 기본경비, 소년원생 수용, 치료감호자 수용관리, 보호관찰활동, 기관운영경비 등 12개 사업에 편성된 106억 4400만원의 특활비가 잘못 편성된 예산으로 꼽혔다. 대통령비서실의 업무지원비 96억 5000만원, 경찰청의 행정업무지원·기본 경비 등 5억 7500만원, 국회의 의원외교 활동비와 기관운영 지원비 9억 8000만원, 국무조정실의 기본경비·국무총리 국정활동 수행비 9억 1300만원, 외교부의 정상 및 총리외교 활동비 7억 1300만원도 부적정한 예산이라고 참여연대는 지적했다.
정부의 특활비 예산안에 드러나지는 않지만, 국정원이 경찰청과 통일부 등 다른 기관에 숨겨서 편성한 것으로 추정되는 특활비 예산은 ‘비밀활동비’와 ‘정보예산’을 포함해 최소 1939억 5000만원에 달하는 것으로 분석됐다.
정부가 편성한 내년도 특활비 예산은 총 1799억 7700만원으로 집계됐다. 올해 예산 3092억 9000만원과 비교하면 9.5%(293억 1300만원) 감소했다. 사업 수도 62개에서 45개로 줄었다. 공정거래위원회와 국민권익위원회, 대법원, 민주평화통일자문회의, 방위사업청 등 5개 기관은 특활비가 전액 삭감됐다. 감사원과 경찰청 등 9개 기관은 일부 삭감, 대통령경호처와 대통령비서실·국가안보실, 외교부 등 3개 기관은 동결됐다. 참여연대는 “편성 목적에 맞지 않는 특활비 사업은 폐지하거나 다른 비목으로 전환해야 한다”면서 “수사나 조사, 감찰 활동 등에 편성된 특활비라도 기밀유지의 필요성이 크지 않다면 대폭 삭감해야 한다”고 강조했다. 이하영 기자 hiyoung@seoul.co.kr
- 저작권자 ⓒ 서울신문사 -"
"""빼빼로에 애벌레"" 신고..롯데 ""제조과정 문제 아닐 것""",http://finance.daum.net/news/20181112192100853,"롯데제과 빼빼로에서 애벌레가 나왔다는 소비자 신고가 접수돼 롯데제과가 조사에 나섰습니다.
롯데제과는 지난 11일, 누드 빼빼로 제품을 샀는데 살아 있는 애벌레 여러 마리를 발견했다는 소비자 신고가 들어왔다고 밝혔습니다.
회사 관계자는 해당 제품 제조일은 지난 4월로, 11월에 살아있는 애벌레가 나온 것은 제조 과정의 문제로 보기 어렵다며, 정확한 원인을 신속히 규명하겠다고 말했습니다.
신윤정 [yjshine@ytn.co.kr]"
"홍남기 경제부총리 후보자 ""고용 상황 엄중하게 생각""",http://finance.daum.net/news/20181112192035835,"[앵커]
문재인 정부 2기 경제팀의 경제정책을 주도할 '원톱'으로 지명된 홍남기 경제부총리 후보자가 10월 고용 동향 발표를 앞두고, 고용 상황을 엄중히 생각한다고 밝혔습니다.
민생 경제 회복에 대한 추가 대책도 고민하고 있다고 말했습니다.
김수연 기자입니다.
[리포트]
모레 10월 고용 동향 발표를 앞두고, 홍남기 경제부총리 겸 기획재정부 장관 후보자가 ""고용 상황을 엄중히 생각한다""며, 관심 있게 지켜보겠다고 밝혔습니다.
홍 후보자는 오늘 인사청문회 준비사무소로 출근하는 길에 ""통계의 향방이 앞으로 경제가 나아갈 방향에 대한 굉장히 중요한 사인인 것 같다""며, 이같이 밝혔습니다.
올 들어 8개월 연속 취업자 수 증가 폭이 10만 명대 이하를 기록하면서 10월 취업자 수가 1년 전보다 얼마나 늘었을지 관심이 쏠리고 있습니다.
홍 후보자는 민생 경제 회복에 대해서도, 많이 구상해보겠다며, 추가적인 대책을 고민 중이라고도 시사했습니다.
어제 첫 출근길에 올해 성장률이 잠재성장률 이하일 것이라고 발언한 것에 대해선, ""잠재성장률이 안정적으로 가게 하는 것이 큰 과제""라며, ""여력을 동원해서 잠재성장률 자체를 끌어올리는 토대를 만들어야 한다""고 밝혔습니다.
내정 직후 기자들과 만난 자리에서도 계속 낮아진 잠재성장률을 끌어올리기 위해 구조개혁에 역점을 두겠다고 강조했습니다.
소득주도 성장에 대해서는 ""논쟁보다는 추진을 해나가되, 의도하지 않은 문제가 제기되면 조정·보완할 수 있다""고 했고, 최저임금에 대해선 ""이미 속도 조절이 됐다고 생각한다""고 답했습니다.
기재부는 모레쯤 인사 청문 요청서를 발송할 예정이며 청문회는 이달 말이나 다음 달 초 열릴 전망입니다.
KBS 뉴스 김수연입니다.
김수연기자 (kbsksy@kbs.co.kr)"
"학자금 미상환율 첫 상승..취업 후에도 ""미래 불안""",http://finance.daum.net/news/20181112191502688,"[앵커] 졸업 후 소득이 일정 수준 이상이 되는 사람들은 재학 때 빌린 학자금을 의무적으로 갚아야 합니다.
하지만 미래 소득에 대한 불안 등으로 상환에 소극적인 청년들이 늘면서 학자금 미상환율이 처음으로 상승 반전했습니다.
박성호 기자가 보도합니다.
[기자] 학교에 다닐 동안 학자금으로 대출받은 돈은 국가장학금과는 달리 취업 후 반드시 갚아야 합니다.
소득이 일정 수준 이상이 될 경우에만 해당하며 통상적으로 기준소득 초과분의 20%가량입니다.
그런데 지난해 의무적으로 갚아야 할 대출금 가운데 145억3천만 원, 8.1%는 상환이 되지 않은 것으로 나타났습니다.
학자금 미상환율은 관련 통계 집계가 시작된 지난 2012년 17.8% 이후 꾸준히 하락해 2016년에는 절반 이하 수준으로 내려갔지만 지난해 다시 8%대가 되면서 처음으로 상승세로 반전됐습니다.
정부 관계자는 취업 후 학자금 미상환율 상승에는 최근 경기 부진과 좋지 않은 고용 상황 영향이 있을 것이라고 진단했습니다.
불안정한 일자리에 취업한 청년층이 늘면서 당장 소득이 있어도 학자금 상환에 소극적인 경향이 나타나는 것으로 분석됩니다.
청년실업률은 지난해까지 2년 연속 9.8%로 2000년 이후 최고치를 기록했고 올해 들어서도 1, 2분기에 10% 이상, 3분기에도 9.4%로 높은 수준이 지속합니다.
잠재 취업 가능자와 잠재 구직자 등을 포함해 포괄범위가 가장 넓어 체감실업률로 여겨지는 청년실업률은 9월에 22.7%까지 치솟습니다.
여기에 고용난이 장기화하면서 미래 소득에 대한 불확실성도 커지고 있습니다.
YTN 박성호[shpark@ytn.co.kr]입니다.
[저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]"
"""고용상황 엄중 인식""..재계 끌어안기도 강화",http://finance.daum.net/news/20181112191501687,"[앵커] 문재인 정부 2기 경제팀이 시장의 신뢰를 얻기 위해 적극적으로 움직이고 있습니다.
인사청문회 준비에 들어간 홍남기 경제부총리 후보자는 고용위기 해결이 최우선 과제임을 분명히 했습니다.
이에 발맞춰 정부 차원의 재계 끌어안기도 펼쳐지고 있습니다.
김평정 기자입니다.
[기자] 경제부총리 후보자로 지명된 이후 첫 월요일!
인사청문회 준비 사무실로 출근하는 홍남기 후보자의 표정은 어둡지만은 않았습니다.
무엇보다 부진한 고용상황을 엄중히 생각한다며 최우선 과제 가운데 하나라는 뜻을 분명히 했습니다.
[홍남기 / 경제부총리 겸 기획재정부 장관 후보자 : 고용상황이 (부진한 것)에 대해서는 정부도 엄중하게 생각합니다. (고용동향) 통계의 향방이 앞으로 경제의 나아갈 방향에 대한 중요한 신호가 될 수 있을 것 같아서 관심 있게 지켜보고 있습니다.]
당장 이번 수요일 10월 고용동향이 발표되는데, 지난 7, 8월 수치처럼 충격적일지, 아니면 9월보다 수치가 반등해 당장의 위기에서는 한숨 돌리게 될지 갈림길에 서 있습니다.
이와 함께 홍 후보자는 잠재 성장률 자체를 끌어올리는 기본 토대를 만들어야 한다며, 자영업자와 중소·중견기업, 그리고 대기업까지 정기적으로 만나 현장의 목소리를 정책에 반영하겠다고 강조했습니다.
재계의 협력을 구하는 일에 정부도 적극 나서고 있습니다.
지난 9월 취임한 산업부 장관은 사실상 처음으로 대기업 총수나 최고경영자 등 경제계 수뇌부를 만났습니다.
성장전략 수정과 경제 하향세 극복을 위해 파격적인 규제개혁이 필요하다는 요구가 나왔고,
[박용만 / 대한상공회의소 회장 : 생명과 안전 같은 필수규제를 제외한 다른 규제들에 대해서는 원칙적인 폐지를 희망하며 (산업부) 장관님의 많은 지원을 기대하고 있습니다.]
주무 장관은 제조업 활력, 기업 애로 해소 등을 약속했습니다.
[성윤모 / 산업통상자원부 장관 : 우리 기업들이 투자와 일자리 창출을 가속화 할 수 있도록 기업 어려움에 대해서는 끝장을 본다는 자세로 임하겠습니다. 지원자로의 역할을 충실히 다하겠습니다.]
2기 경제팀의 재계 끌어안기 행보가 강화하는 양상을 보이면서, 최저임금과 주 52시간 등 여러 현안에서 경제 주체 사이의 간극을 좁혀나갈 수 있을지 주목됩니다.
YTN 김평정[pyung@ytn.co.kr]입니다.
[저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]"
수능일 은행 영업시간 오전 10시~오후 5시로 변경,http://finance.daum.net/news/20181112190300273,"은행연합회는 2019학년도 대학수학능력시험일인 오는 15일, 은행 영업 시작 시간을 기존 오전 9시에서 오전 10시로 변경된다고 밝혔습니다.
영업 마감 시간은 오후 5시로 1시간 연장됩니다.
은행연합회는 시험 당일 오전 수험생과 감독관, 학부모 등이 고사장으로 이동하느라고 교통 수요가 급증할 것으로 예상돼 영업시간을 조정했다고 설명했습니다."
[포토] '삼성 협력사 채용 한마당'에 몰린 구직자들,http://finance.daum.net/news/20181112190059207,"12일 서울 서초구 양재동 aT센터에서 열린 ‘2018 삼성 협력사 채용 한마당’이 구직자들로 붐비고 있다. 이날 행사에는 삼성전자와 삼성디스플레이, 삼성SDI, 삼성전기, 삼성SDS 등 전자 계열사의 협력사 120여개 기업이 참여했다. 삼성 협력사 채용 한마당은 중소·중견 협력사에 우수 인재를 만날 수 있는 장을 마련하고, 구직자들에게는 양질의 일자리를 제공한다는 취지에서 2012년부터 매년 개최되고 있다. 최종학 선임기자
GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
"대형 건조기 경쟁, LG전자가 먼저 16kg급 낸다",http://finance.daum.net/news/20181112185602022,"[한겨레]
삼성과 엘지(LG)의 대형 의류건조기 출시 경쟁에서, 엘지전자가 먼저 국내 최대인 16㎏급 건조기를 내놓는다. 이전에 14㎏급은 삼성전자가 석 달 앞서 출시했다.
엘지전자는 12일 “건조 용량 16㎏의 ‘듀얼 인버터 히트펌프 트롬’ 건조기를 12일부터 예약 판매에 들어가고, 다음 달 출시한다”며 “대용량 건조에 최적화된 부품과 업계 최고 수준의 인버터 기술력을 기반으로 대용량 건조에서도 탁월한 성능과 효율을 낸다”고 밝혔다. 출고가는 209만∼219만원이다.
지금까지 국내 건조기 시장은 14㎏급이 최대였으며, 16㎏급 제품 출시를 놓고 엘지전자와 삼성전자가 경쟁해왔다. 삼성전자가 올해 2월 당시 국내 최대 용량인 14㎏급 그랑데 건조기를 출시했고, 엘지전자는 5월 같은 용량의 건조기를 내놨다. 엘지전자에 이어 삼성전자도 16㎏급 건조기 출시를 검토하는 것으로 알려졌다. 대우전자와 에스케이(SK)매직 등 중견 가전회사들은 10㎏급 건조기가 최대다. 엘지전자 관계자는 “대형 건조기에 대한 고객 요구가 커, 점점 용량을 늘려가고 있다”고 말했다.
엘지전자는 새 제품이 프리미엄 건조기의 핵심 기술인 ‘듀얼 인버터 히트펌프’를 적용해 국내 최대 건조 용량을 구현했다고 밝혔다. 대용량 물통을 기본 탑재해 전원만 연결하면 집안 어느 곳이나 설치해 사용할 수 있고, ‘콘덴서 자동세척 시스템’으로 미세한 먼지가 쌓여 공기순환을 방해하는 것을 막아준다고 설명했다. 엘지전자는 누리집 내 사전 예약 코너와 전국 엘지베스트샵 등에서 예약하고 신제품을 사는 고객에게 ‘퓨리케어 공기청정기’를 증정한다.
미세먼지 농도가 짙어지면서 환경가전으로 분류되는 건조기 시장도 급성장하고 있다. 특히 혼수 가전으로 주목받는다. 롯데하이마트 자료를 보면, 올해 1~10월 건조기 매출은 지난해 같은 기간보다 180% 늘었다. 외출 뒤 옷을 자주 빨고 실외 건조가 어려워지면서 건조기 수요가 늘고 있다. 최현준 기자 haojune@hani.co.kr"
