title,link,content
"BNK금융, 한국거래소와 '지역 중소기업 발굴·지원' 업무협약",https://m.news.naver.com/read.nhn?oid=008&aid=0004132390&sid1=101&sid2=259&mode=LS2D,[머니투데이 한은정 기자] [상장지원 플랫폼 구축 · IPO 관련 교육 및 컨설팅 등 진행] BNK금융그룹과 한국거래소가 장기적 경기침체로 어려움을 겪고 있는 지역 산업에 활력을 불어넣기 위해 부산·울산·경남지역 비상장 유망 중소·벤처기업의 발굴 및 성장을 지원하기로 했다.BNK금융과 한국거래소는 14일 부산은행  본점에서 중소기업의 새로운 성장활로 모색과 지역 경제 활성화를 위해 ‘자본시장 상장지원 업무협약’을 체결했다. 이번 협약으로 양 기관은 지역의 중소·벤처기업들이 상장을 통해 중견기업으로 성장할 수 있도록 상장지원 플랫폼 구축 기업 성장단계에 맞춘 투자유치 활동 및 자금조달 지원 상장 설명회 개최 IPO(기업공개) 관련 교육 및 컨설팅 등 다양한 지원을 추진하기로 했다.BNK금융은 부산은행 경남은행 BNK투자증권 등 그룹 계열사들이 보유한 광범위한 기업금융 네트워크를 통해 혁신기업들을 발굴할 계획이다. 한국거래소는 전문성 높은 IPO 컨설팅을 활용해 지역 내 많은 기업들이 상장에 성공하도록 지원할 예정이다.정지원 한국거래소 이사장은 “최근 지역 내 기업들의 상장이 매우 부진한 상황에서 대표 혁신기업들이 상장을 통해 대규모 자금을 조달하고 중견기업으로 발전해가는 모델을 만들기 위해 노력하겠다”고 밝혔다.김지완 BNK금융 회장은 “대출 등 기존의 중소기업 금융지원 프로그램 뿐만 아니라 BNK투자증권의 일자리 창출 400억원 투자조합 펀드를 통해 성장 유망 중소기업에 대한 투자 및 상장지원을 확대하고 일대일 멘토링 금융자문계약을 체결해 중소기업의 재무구조가 개선되도록 지원을 아끼지 않겠다”고 말했다.BNK투자증권과 한국거래소는 이번 협약의 일환으로 오는 21일 서면 롯데호텔에서 부산·울산·경남지역 소재 우수기업 70여개 업체를 대상으로 고객초정세미나를 개최하고 중소기업 금융지원 방안 안내 IPO 설명회 및 컨설팅 등을 진행할 계획이다.    한은정 기자 rosehans@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이 무단전재 및 재배포 금지> 
"위성호 신한은행장, 경기지역 산업공단 현장경영",https://m.news.naver.com/read.nhn?oid=008&aid=0004132389&sid1=101&sid2=259&mode=LS2D,[머니투데이 한은정 기자] [기업 현장 방문 후 국내·외 경제 전망에 대한 세미나 진행]위성호 신한은행장이 지난 13일 경기 지역 중소·중견기업을 방문하고 CEO(최고경영자)들과 만찬 세미나를 진행하는 현장경영을 진행했다.위 행장은 전국 주요 지역 기업들을 방문해 체감경기를 파악하고 기업활동의 고충과 금융 애로사항을 반영해 함께 성장하는 방안을 모색하고 있으며 이번에는 인천에 위치한 대주중공업을 방문해 철강 생산 및 물류시설을 둘러보고 기업의 현황 및 전망을 경청했다.이어 송도국제도시에 위치한 경원재 앰배서더 호텔에 경기지역 산업공단(남동·반월·시화·안산 등) 기업 CEO 48명을 초청해 ‘2019년 국내·외 경제 이슈 및 전망’이라는 주제의 강연을 듣고 만찬을 하며 고객들과 소통하는 시간을 가졌다.또 쉽지 않은 경영환경에서 중소기업 운영에 힘쓰는 CEO들의 사기진작을 위해 ‘대중음악 속의 초일류 리더십’을 테마로 한 이두헌 밴드의 음악 공연을 함께 관람했다.위 행장은 “기업금융 솔루션과 신한금융그룹의 글로벌 네트워크를 최대한 활용해 고객의 성공을 돕겠다”며 “항상 기업의 고충과 애로사항에 귀 기울이는 든든한 상생의 파트너가 되겠다”고 말했다.위 행장은 올해 상반기에도 전국을 순회하며 기업고객과 적극적인 소통을 펼치며 중소·중견기업의 지원을 위해 혁신기업 투자와 소상공인 성공 지원 컨설팅센터 운영 금융 신상품 출시 등 다양한 노력을 기울이고 있다.     한은정 기자 rosehans@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이 무단전재 및 재배포 금지> 
"하나카드, 사무금융노조와 사회연대기금 출연 합의",https://m.news.naver.com/read.nhn?oid=014&aid=0004126339&sid1=101&sid2=259&mode=LS2D,  하나카드는 지난 13일 전국사무금융서비스노동조합(이하 사무금융노조)과 불평등 양극화 해소를 위한 사회연대기금 출연 조인식을 개최했다고 14일 밝혔다.  하나카드 노사는 오는 2020년까지 올해 2억원 등 3년간 총 6억원의 사회연대기금을 출연할 예정이다. 이날 조인식에는 정수진 하나카드 대표이사 김현정 사무금융노조 위원장 정종우 사무금융노조 하나외환카드지부장이 참석했다.  이번 하나카드 노사의 사회연대기금 출연은 지난 4월 사무금융노조가 기금 조성 선포식을 개최한 이후 진행된 다섯번째 합의다. 사무금융노조는 지난 2월 개최된 대의원 대회를 통해 노동조합의 사회적 책임과 역할을 강조하며 '불평등 양극화 해소를 위한 특별위원회'를 발족했다.  정수진 하나카드 대표이사는 “이번 조인식을 통해 사회적 약자 및 나라의 미래인 청년들에게 많은 도움이 되길 기대한다”며 “그 동안 하나카드는 하나금융그룹과 함께 하나데이행사 독거노인 돕기 등 기업의 사회적 소명을 위한 다양한 사회공헌 활동을 해왔는데 이번에는 노사와 함께 하게 돼 더욱 뜻 깊다”고 말했다.  현재 사무금융노사는 업종본부별 지부별 실무교섭을 진행 중이며 지난 KB증권 KB카드 애큐온저축은행 교보증권 하나카드에 이어 사회연대기금 출연 합의가 진행될 전망이다. 이와 함께 현재는 노사가 함께 실무 추진단을 함께 구성해 활동하고 있으며 공익재단 '사무금융연대기금(가칭)' 출범을 준비하고 있다.        ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
"신한저축은행, 수원 구운초등학교 ‘1사1교 금융교육’ 진행",https://m.news.naver.com/read.nhn?oid=417&aid=0000355955&sid1=101&sid2=259&mode=LS2D,신한저축은행은 ‘1사1교 금융교육’ 자매결연을 맺은 경기 수원 구운초등학교에서 지난 13일 금융교육을 진행했다고 14일 밝혔다.이번 금융교육은 구운초등학교 5학년 학급 전체 80여명을 대상으로 ‘현명한 소비와 신용의 중요성’을 주제로 진행됐다. 소득의 종류 올바른 소비 용돈 기입장 작성법 신용의 의미 개인정보 보호 등의 이론교육과 함께 아이들의 흥미를 유발할 수 있는 다양한 금융관련 퀴즈를 진행하며 참여도를 높였다. 또한 교육 참여 아이들 전원에게 스케줄러를 선물해 계획적인 용돈관리와 올바른 경제습관을 생활화하는 데 도움이 되도록 했다.이날 금융강사로 참여한 장태영 신한저축은행 과장은 “앞으로도 자라나는 아이들이 금융에 대한 올바른 인식을 가질 수 있도록 노력하겠다”고 말했다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
'삼성바이오로직스 운명은?',https://m.news.naver.com/read.nhn?oid=421&aid=0003691922&sid1=101&sid2=259&mode=LS2D,(인천=뉴스1) 정진욱 기자 = 14일 오후 인천시 송도의 삼성바이오로직스 공장앞 신호등에 빨간불이 켜져 있다. 금융위원회 산하 증권선물위원회는 이날 오전 9시부터 삼성바이오 회계 처리 위반 안건을 심의하고 있다. 2018.11.14/뉴스1guts@news1.kr
"현대카드, 해외직구 시 안전한 카드사용법 소개",https://m.news.naver.com/read.nhn?oid=417&aid=0000355954&sid1=101&sid2=259&mode=LS2D,현대카드는 오는 23일 시작되는 블랙프라이데이를 맞아 해외직구 이용 시 안전한 카드 사용을 위한 서비스를 14일 소개했다.현대카드는 사전에 카드 사용처와 사용금액을 자유롭게 설정할 수 있는 서비스인 ‘락앤리밋’(Lock&Limit)을 소개했다. ‘락’(Lock) 기능을 이용하면 국내는 물론 해외 온·오프라인 결제를 클릭 한번으로 제한할 수 있어 안전한 카드 생활에 도움을 준다.특히 해외에서 카드 사용 시 원치 않는 원화결제를 사전에 막을 수 있다. 해외원화결제(DCC)는 해외 가맹점에서 현지 통화가 아닌 원화(KRW)로 결제할 수 있지만 수수료가 부과되는 서비스다. 락앤리밋 서비스는 현대카드 앱에 별도로 마련된 페이지에서 국내 및 해외 온·오프라인 결제와 해외원화결제의 사용여부를 설정해 사용하면 된다.‘가상카드번호’ 서비스도 제안했다. 이 서비스는 온라인 등에서 카드정보 유출에 대비한 서비스로 고객의 실제 카드번호와 연결된 가상의 카드번호를 발급받을 수 있다. 현대카드 앱에서 신청하면 되고 별도의 서비스 이용료는 없다.해외결제에 특화 혜택을 제공하는 카드를 활용하는 것도 좋다. 지난 8월 출시해 인기를 모으고 있는 ‘더 그린’(the Green)은 해외 온·오프라인 결제와 항공사 여행사 면세점 등 여행 관련 사용처에서 5% M포인트 적립 혜택을 제공한다.현대카드 관계자는 “락앤리밋(Lock&Limit)과 가상카드번호 서비스를 활용하면 블랙프라이데이 시즌을 보다 풍성하고 안전하게 즐길 수 있다”며 “특히 해외결제 시 특화 혜택을 제공하는 더그린 상품을 활용하면 더욱 경제적으로 쇼핑을 즐길 수 있을 것”이라고 밝혔다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
"KB국민카드, 한국백혈병어린이재단에 2000만원 기부",https://m.news.naver.com/read.nhn?oid=417&aid=0000355952&sid1=101&sid2=259&mode=LS2D,KB국민카드는 14일 소아암 어린이 돕기 임직원 헌혈 행사를 가졌다고 밝혔다.KB국민카드는 임직원이 모은 100여장의 헌혈증과 기부금 2000만원을 소아암 어린이 치료를 위해 ‘한국백혈병어린이재단’에 전달했다. 기증된 헌혈증은 소아암 어린이들의 치료를 위해 쓰일 예정이다.KB국민카드 관계자는 “소아암 어린이들이 건강한 모습을 되찾는 데 임직원들의 작은 정성이 도움이 되길 기대한다”며 “병마와 싸우고 있는 소아암 어린이들에게 실질적인 도움이 될 수 있는 사회공헌 활동을 앞으로도 다양하게 펼칠 계획”이라고 밝혔다.한편 KB국민카드는 2014년부터 매년 정기적으로 임직원 헌혈 행사를 개최해 지금까지 임직원 등으로부터 모은 1000여 장의 헌혈증과 1억3550만원의 기부금을 한국백혈병어린이재단에 전달했다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
"롯데카드, 자동차 100대 경품 ‘엘드림 페스타’ 인기",https://m.news.naver.com/read.nhn?oid=417&aid=0000355951&sid1=101&sid2=259&mode=LS2D,롯데카드는 그랜저IG 100대를 경품으로 증정하는 ‘롯데 엘드림 페스타’(L.Dream FESTA)가 이벤트 시작 한달여만에 260만명이 참여하는 등 큰 관심을 모으고 있다고 14일 밝혔다.오는 24일까지 진행되는 ‘롯데 엘드림 페스타’는 롯데 계열사에서 롯데카드로 누적 5만원 이상 결제하면 주어지는 ‘드림볼’(Dream Ball)을 통해 자동 응모가 가능하며 드림볼 개수가 많을수록 당첨 확률이 높아진다. 고객은 결제금액이 많거나 방문 계열사가 다양할수록 더 많은 드림볼을 획득할 수 있다.롯데카드는 고객 성원에 힘입어 오는 16일부터 18일까지 ‘드림볼’ 추가 증정에 나선다. 행사 기간 동안 2개 이상 계열사에서 이용금액이 10만·20만·30만·50만원 이상일 경우 드림볼을 각각 10·20·30·50개를 추가 지급한다. 본인이 획득한 누적 드림볼 개수는 ‘롯데카드 라이프’ 애플리케이션에서 실시간으로 확인할 수 있다. 지난 8일 기준 총 3600만개의 드림볼이 지급됐으며 평균 1인당 14개의 드림볼을 보유하고 있다. 당첨자 발표는 오는 30일 롯데카드 본사에서 고객 패널 및 경찰관 등이 입회한 가운데 컴퓨터 프로그램 공개 추첨을 통해 진행될 예정이다. 롯데카드 관계자는 “위축된 내수 경기에 조금이나 활력을 불어넣을 수 있도록 롯데 계열사들이 힘을 합쳐 이번 이벤트를 마련했다”고 말했다.‘롯데 엘드림 페스타’ 행사에는 롯데백화점 아울렛 엘롯데 마트 VIC마켓 하이마트 슈퍼 닷컴 홈쇼핑 시네마 롯데리아 엔제리너스 크리스피크림도넛 T.G.I Fridays 빌라드샬롯 롯데월드 서울스카이 아쿠아리움 언더씨킹덤 롯데카드 올마이쇼핑몰 등 롯데 10개 계열사에서 진행된다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
"IBK저축은행, 지역 내 우수 학생에게 장학금 수여",https://m.news.naver.com/read.nhn?oid=417&aid=0000355949&sid1=101&sid2=259&mode=LS2D,IBK저축은행은 지역 내 우수 학생에게 총 700만원의 장학금 수여했다고 14일 밝혔다.선정된 장학생은 총 8명으로 서울·대전·대구·부산·마산 등 전국 10개 지점 거래고객 자녀 중 임직원 추천 등을 통해 이뤄졌다. 장학금은 앞서 7월 IBK저축은행 출범 5주년 기념 바자회 등을 통해 마련됐다.김성미 IBK저축은행 대표이사는 “지역금융기관인 IBK저축은행의 소임을 다하기 위해 지난해부터 시행 중인 1사1교 지원활동 외에도 지역사회를 위한 공헌활동을 확대하겠다”고 밝혔다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
"KB국민카드, 피치에서 2년 연속 신용등급 ‘A-’ 받아",https://m.news.naver.com/read.nhn?oid=417&aid=0000355948&sid1=101&sid2=259&mode=LS2D,KB국민카드는 세계 3대 신용평가사 중 하나인 ‘피치’(Fitch)로부터 2년 연속 국제신용등급 ‘A-’를 받았다고 14일 밝혔다.피치는 지난 8월부터 연례미팅과 인터뷰 등을 거쳐 지난해에 이어 올해도 장기신용등급 ‘A-’를 부여하며 신용등급 전망에 대해서도‘안정적’(Stable)으로 평가했다. 장기신용등급 ‘A-’는 국내 여신전문금융사가 지금가지 피치로부터 받은 국제신용등급 중 최고수준의 등급이다.이와 관련 KB국민카드는 2011년 분사 이후 KB금융그룹의 주력 자회사로서 보여준 경영 실적과 그룹 내 시너지 창출 기여도에 대해 높이 평가받은 것으로 보고 있다. 또 가맹점수수료 인하 등으로 악화된 대내외 경영환경에도 꾸준한 자산 성장과 시장 점유율 상승세를 이어온 점이 좋은 평가를 받는 데 영향을 미친 것으로 분석했다.KB국민카드 관계자는 “글로벌 신용평가사로부터 2년 연속 해외채권 발행을 위한 채권 등급이 아닌 회사에 대한 국제신용등급을 받은 것은 이번이 처음”이라며 “해외시장 진출을 위한 인허가 과정에서 현지 감독당국이 국제신용등급을 요구하는 사례가 많은 만큼 앞으로 원활한 해외 진출은 물론 안정적인 외화자금 조달에도 많은 도움이 될 것으로 기대한다”고 밝혔다.서대웅 기자 mdw1009@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S 무단전재 및 재배포 금지>    
