title,link,content
대출규제 엎친 데 금리인상 덮쳐.. '거래절벽' 심화,http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130182420224&section=&limit=30&page=1,한국은행의 기준금리인상은 부동산시장에도 큰 파장을 야기할 것으로 보인다. 고강도 세제·대출 규제로 얼어붙은 시장에 기준금리 인상 여파가 더해지며 매수세가 더욱 위축될 가능성이 크기 때문이다. 30일 부동산114에 따르면 11월 마지막 주 서울 아파트 매매가격은 0.04% 떨어지며 일주일 전의 -0.03% 대비 하락 폭을 키웠다. 최근 약세로 돌아선 강남과 서초 송파 강동 등 강남권에 이어 양천구 아파트값도 5개월 만에 하락(-0.01%)했다. 위례신도시와 광명 분당신도시 등 서울과 인접한 경기권 주요 지역도 하락 대열에 합류했다.업계에서는 아파트값 하락세가 확산되는 상황에 기준금리 인상 내달로 예정된 3기 신도시 입지 발표 등이 겹치면 가격을 내린 매물이 더 늘어날 것으로 보고 있다. 윤지혜 부동산114 수석연구원은 “주택시장 호황에 기댄 가계부채 증가세는 주택담보대출 확대가 이끌었던 만큼 가계의 이자 부담 증가로 인한 주택시장의 급매물이 과거보다 늘어날 것”이라고 내다봤다.다만 기준금리 인상이 부동산 시장에 미칠 충격파는 그리 크지 않을 것이란 시각도 있다. 이번 인상 폭을 반영해도 한국의 기준금리가 여전히 낮은 수준인 데다 부진한 내수와 고용시장 한파 등의 여건을 감안할 때 당분간 추가 금리 인상도 쉽지 않다는 이유에서다. 하지만 기준금리 인상은 단기적으로 주택담보대출 금리 상승으로 이어지며 차주의 이자 상환 부담을 높일 것으로 예상된다. 이날 금융감독원에 따르면 올해 9월 기준 국내은행 원화대출 중 가계대출의 연체율은 0.26% 주택담보대출은 0.19% 수준이다. 특히 문재인정부 들어 투기과열지구와 투기지역은 주택담보인정비율(LTV) 총부채상환비율(DTI) 비율이 40%로 낮아진 데다 9·13부동산 대책에 따라 여신도 한층 까다로워졌다. 여기에 상환이자 부담마저 커지면 부동산 시장에 고인 과잉 유동자금이 줄고 주택시장의 거래량과 가격 움직임이 한동안 둔화할 확률이 높아질 것으로 분석된다. 이자 부담이 늘면 주택구매의 상당 부분을 대출에 의존한 가구는 자칫 한계상황에 내몰릴 수 있다. 박원갑 KB 국민은행 WM스타자문단 수석부동산전문위원은 “아직 자산이 적은 신혼부부의 경우 대출 의존도가 높아서 취약할 수 있다”고 말했다.주택 시장의 양극화 심화도 우려된다. 함영진 직방 빅데이터랩장은 “수도권 일부 지역과 지방 주택 시장은 복수대출자 변동금리 대출자의 어려움이 가중된다”며 “반면 ‘똘똘한 한 채’ 수요가 쏠리고 증여 및 임대사업자 전환 등으로 매물 잠김 현상이 예상되는 서울은 일부 한계 차주를 제외하고 급매물로 인한 가격 급락요인은 많지 않다”고 지적했다.나기천 기자 na@segye.com
"철도공동조사 南열차, 北으로 출발..""공동번영 신호탄될 것""(종합2보)",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130182327203&section=&limit=30&page=1,"(도라산·서울=연합뉴스) 공동취재단 이봉석 기자 = ""남북 공동 조사열차 출무신고하겠습니다. 기관사 김재균 기관사 박준만 도라산역에서 판문역까지 7.3km 열차 안전운행에 최선을 다하겠습니다.""북한 철도 구간 남북 공동조사에 투입되는 우리 열차 기관사의 북녘행을 고하는 출무신고가 끝나자 오영식 한국철도공사(코레일) 사장은 ""102호 열차(조사열차) 발차""를 외쳤다.그러자 기관차 1량과 유조차 객차 등 총 7량으로 구성된 우리 열차는 북측 판문역을 향해 움직이기 시작했다. 경의선과 동해선의 북측 구간 공동조사를 위한 총 18일간 이동거리 2천600㎞에 달하는 대장정이 시작된 것이다.정부는 30일 아침 일찍 서울역을 출발한 조사열차가 경기도 파주시 경의선 도라산역에 도착하자 현장에서 환송행사를 열었다. 조명균 통일부 장관은 행사 축사에서 ""앞으로 하나로 이어질 철길을 통해서 남북이 함께 번영하게 될 것이며 한반도의 평화도 탄탄해질 것""이라며 ""정부는 앞으로 남북 두 정상이 합의하신 착공식도 올해 연내에 개최할 수 있도록 착실하게 준비해 나갈 것""이라고 밝혔다.김현미 국토교통부 장관도 ""오늘의 출정식은 남북 공동번영의 시작을 알리는 신호탄이 되고 섬처럼 갇혀있던 한반도 경제영토를 유라시아 대륙으로 확장하는 촉매제가 될 것""이라고 말했다.환송행사는 국토부 황성규 철도국장의 추진경과 보고와 두 장관의 축사에 이어 잘 다녀오라는 뜻에서 오영식 사장이 기관사에게 머플러를 둘러준 출무신고 등의 순으로 진행됐다.행사에는 국회 국토교통위원장인 박순자 의원 국회 남북경협특위 간사 김경협 더불어민주당 의원 정동영 민주평화당 대표 경기 파주시가 지역구인 윤후덕·박정 민주당 의원 등이 참석했다. 국회 외교통일위원회 의원들은 불참했다.자유한국당 소속인 박 의원은 ""매우 역사적인 일""이라며 ""북한 인프라 개발에 대한 중·러·일 등 주변 강대국과 경쟁에서 주도권 가질 수 있도록 면밀하게 추진해야 한다""고 당부했다.북측 관계자들은 이날 행사에 참석하지 않았으며 남측 열차가 올라간 뒤에 자체로 행사를 열지도 않은 것으로 알려졌다.남쪽 열차가 북측 철도 구간을 달린 것은 남측 도라산역과 북측 판문역을 주 5회씩 오가던 화물열차가 2008년 11월 28일 운행을 중단한 이후 10년 만이다.판문역에 도착한 뒤 우리 기관차는 분리돼 귀환했으며 이후 북측 기관차가 우리 철도차량 6량과 북측 차량 3량을 함께 끄는 방식으로 공동조사에 들어갔다.북측 열차의 구성은 확인되지 않았지만 발전차와 침대차 객차인 것으로 추정된다.통일부와 국토부를 비롯한 관계부처 담당자 등 총 28명으로 구성된 조사단은 북측 관계자들과 함께 경의선 개성∼신의주 약 400㎞ 구간은 다음 달 5일까지 동해선 금강산∼두만강 약 800㎞ 구간은 다음 달 8∼17일 공동조사한다.남북 공동조사단은 특히 터널과 교량을 집중적으로 점검할 계획이다.남측 공동조사단장인 임종일 국토부 철도건설과장은 ""조사는 육안 검사와 휴대용 기기를 통한 구조물 테스트 두 가지 방식으로 진행된다""며 ""맨눈으로도 시설 노후화 등을 대략 판단할 수 있을 것""이라고 말했다.anfour@yna.co.kr<저작권자(c) 연합뉴스 무단 전재-재배포 금지>"
[에잘알]대만 '탈원전'은 왜 좌초위기에 몰렸을까?,http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130181038995&section=&limit=30&page=1,"""我是人 我反核.(나는 사람이다. 나는 핵에 반대한다)""대만 민주진보당 소속 차이잉원 총통이 2016년 총선에서 내건 구호다. 그는 ‘원전 제로’를 핵심 공약으로 내세우며 2025년까지 대만 내 모든 원전의 가동을 중단하겠다고 약속했다. 지난해 1월엔  전기사업법 95조 1항에 '2025년까지 가동 중인 모든 원전을 완전 중단시킨다'는 내용을 신설해 탈(脫)원전을 법으로 못박았다.1978년부터 원전을 운용한 대만은 1·2·3호 원전에 2기씩 총 6기의 원전을 보유하고 있다. 모두 2025년까지 설계 수명이 만료된다. 차이잉원 정부는 수명이 끝나는 대로 연장 없이 순차적으로 이들 원전의 가동을 멈추도록 했다. 2014년 공정률 98%로 사실상 완공된 뒤 시운전 직전 잠정 폐쇄된 룽먼 1·2호기(제4기 원전)도 가동하지 않기로 했다. 원전의 빈 자리는 태양광·풍력 등 재생에너지로 채우는 것으로 방침을 정했다. 2025년 재생에너지 발전 비중을 20%로 끌어올리는 게 목표였다.차이잉원 정부가 이처럼 급격한 탈원전을 추진할 수 있었던 건 국민적 지지가 밑바닥에 있었기 때문이다. 대만의 찬핵(贊核)과 반핵(反核) 진영간 갈등은 역사가 깊다. 제4기 원전의 건설 여부를 두고 약 30년간 갈등이 이어져 왔다. 반핵 입장을 고수했던 민진당은 2000년 천수이볜(陳水扁) 총통의 당선 이후 제4기 원전 건설 중지를 추진했지만 국민당의 반발 끝에 무산됐다. 치열했던 반핵 운동도 힘을 잃는 듯 했다.상황이 반전된 건 2011년 3월 일본 후쿠시마 원전사고 발생 후부터다. 후쿠시마 사고는 원전의 안전성에 대한 근본적 의문을 제기한 사건이었다. 일본처럼 지진이 잦은 대만으로선 충격이 더 컸다. 국민들 사이에서 반원전을 요구하는 여론이 높아졌다. 이는 2014년 제4기 원전이 잠정 폐쇄되는 데 큰 영향을 미쳤다.차이잉원 정부의 탈원전 계획도 반원전 여론을 근간으로 했다. 대만의 리스광(李世光) 경제부장은 지난해 1월 ""일본이 기술력이나 도덕성에서도 세계 초일류 국가인데 그럼에도 원전 사고가 일어났다""며 ""만전을 기한다 해도 예기치 않은 사태가 발생할 수 있다""고 지적하기도 했다.하지만 탈원전 정책에 대한 지지는 견고하게 유지되지 못했다. 탈원전에 따른 전력수급 불안과 전기요금 인상 가능성이 제기되는 등 정책 추진 과정에서 잡음이 계속됐기 때문이다.차이잉원 정부는 전기사업법 개정 이후 가동 중인 원전 4기 중 2기를 설비이상 등의 이유로 가동을 중단했다. 가동원전 수가 2기로 축소되면서 대만의 전력예비율은 3% 수준으로 급락했다. 한국이라면 의무절전 규제가 발동하는 전력수급경보 발령 수준이다. 그러다 지난해 8월 대만 전체 가구의 64%에 전기공급이 끊기는 대규모 정전이 빚어졌다. 경제부장이 사임하고 차이잉원 총통이 사과하는 등 파장은 컸다. 정전 원인은 액화화천연가스(LNG) 발전소 직원이 공급밸브를 잘못 작동해 발전소가 셧다운된 것이지만 국민 여론은 탈원전으로 향했다.예기치 못했던 대형 정전 사고로 탈원전 정책에 따른 전력수급 불안 우려가 높아지면서 탈원전 반대 진영을 중심으로 국민청원운동이 일어났다. 이들은 29만여명의 서명을 받아내 결국 24일 치러진 지방선거에서 탈원전정책의 근간이 되는 전기사업법 95조1항의 폐기를 묻는 국민투표가 이뤄졌다.국민투표 결과 이 조항을 폐기가 결정했다. 전체 투표자 중 54.4%(589만명)이 전기사업법 95조1항 폐기에 찬성했다. 차잉잉원 정부는 곧 전기사업법 95조 1항 폐지 입법안을 입법원에 제출할 방침이다.하지만 차이잉원 정부는 탈원전 정책을 변함없이 추진하겠다는 입장이다. 전기사업법 95조1항 폐기로 2025년이라는 목표시한은 잃었으나 중장기적으로 '원전 없는 국가' 정책을 계속하겠다는 구상이다. 이와 관련 콜라스 요타카 행정원 대변인이 탈원전 목표에 변함이 없다고 단정적으로 언급했다가 ‘국민투표 불복’ 논란을 일어나자 라이칭더 행정원장이 사과하는 사태도 발생했다.한편 대만의 국민투표 결과를 두고 국내 원자력계에선 정부의 탈원전 등 에너지전환 정책에 대해 “우리도 국민 의사를 묻자”고 주장하고 있다. 탈원전 추진 근거를 전기사업법에 명시했던 대만과 달리 한국은 법제화 없이 정부 시행령 등을 통해 정책을 이행 중이다. 따라서 대만처럼 국민투표를 통해 정책의 폐기 여부를 결정할 수는 없다.정부도 대만이 국민투표를 결과에 대해 “대만과 우리가 추진해 왔던 정책이 같은 점도 있지만 다른 점도 많다”고 선을 그었다. 산업통상자원부 관계자는 지난 26일 정부세종청사에서 기자들과 만나 “다른 나라의 에너지정책을 참고해 왔기 때문에 (대만 국민투표 결과도) 참고할 여러 정책 중 하나라고 생각한다”면서도 “하지만 대만 케이스를 한국에 바로 투영하는 것은 아닌 듯하다”고 말했다.세종=권혜민 기자 aevin54@mt.co.kr 유영호 기자 yhryu@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이 무단전재 및 재배포 금지>"
충남 서산 부남호서 H5형 AI 항원 검출,http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130180706941&section=&limit=30&page=1,"(서울=연합뉴스) 이태수 기자 = 농림축산식품부는 28일 충남 서산 부남호에서 채취한 야생조류 분변에서 H5형 조류인플루엔자(AI) 항원이 검출됐다고 30일 밝혔다.농식품부는 이에 따라 항원이 검출된 지점을 중심으로 반경 10㎞를 '야생조수류 예찰 지역'으로 정하고 이 지역에서 사육 중인 가금·조류에 대한 예찰·검사를 강화하기로 했다.또 이 지역에서 조류 이동을 통제하고 소독을 강화하며 철새 도래지와 소하천 등 인근 농가에 대해서는 차단 방역을 강화한다.해당 지자체에는 방역 차량을 총동원해 매일 소독을 하게 하는 등 방역에 총력을 기울인다.농식품부는 ""고병원성 여부 등을 최종 판정하는 데에는 3∼4일가량 걸릴 예정""이라고 밝혔다.tsl@yna.co.kr<저작권자(c) 연합뉴스 무단 전재-재배포 금지>"
"[토요워치] ""뭉치면 뜬다""..'X'의 경제학",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130175850748&section=&limit=30&page=1,‘컬래버레이션(협업)’은 최근 수년간 산업에서 가장 흥미롭고도 두드러지는 현상 중 하나다. 상품 브랜드와 기업 또는 아티스트들이 더 좋은 제품·작품을 위해 서로 손잡은 일은 예전부터 있었지만 지금처럼 하루에도 서너 건씩 협업 제품이 쏟아질 정도였던 적은 없었다. 패션·식품·뷰티·예술·정보기술(IT)·자동차 등 산업의 전 영역에서 협업이 등장하고 경계를 허문 이색상품이 이토록 많이 등장하는 것도 이전에는 없던 현상이다. 그야말로 ‘컬래버노믹스(협업+경제)’의 시대가 활짝 열린 셈이다.컬래버노믹스의 핵심은 잘 합치면 더 잘 팔린다는 데 있다. 컬래버레이션을 표현하는 기호가 더하기(+)나 앤드(&)가 아닌 곱하기(×)라는 점은 특히 상징적이다. 앞서 ‘방탄소년단×라인프렌즈×ASSC’에서 보듯 전혀 다른 브랜드라도 제대로 결합하면 매출은 물론 브랜드 이미지도 기하급수적으로 올라갈 수 있다는 것이다.전문가들은 컬래버노믹스 등장의 원인을 장기불황 타파를 위한 기업·브랜드들의 고육지책으로 보고 있다. 평범한 제품들에는 절대 지갑을 열지 않게 된 소비자들의 마음을 사로잡기 위해 독특하고 이색적인 협업을 시도하는 것이다. 침체된 시장에 입소문이 날 만한 ‘이슈’를 던져 산업에 활기를 불어넣으려는 시도로도 읽힌다. 협업으로 탄생한 희귀상품을 한정된 시간·장소에서만 소량 판매하는 유통방식이 소비에서 재미·경험을 중시하는 1020 밀레니얼 세대의 특성에 딱 맞기 때문에 인기를 끈다는 의견도 있다. 특히 밀레니얼 세대는 페이스북·인스타그램 등 소셜미디어서비스(SNS)를 통해 소비경험을 공유하길 즐기고 그런 공유의 과정이 브랜드 및 기업 이미지 향상에도 큰 도움을 주기에 기업 입장에서는 마다할 이유가 없다는 것이다.컬래버노믹스의 최전성기로 부를 법한 요즘은 하루가 멀다 하고 특별한 상품들이 쏟아져 소비자들의 마음을 즐겁게 하지만 단점이 전혀 없는 것은 아니다. 기업들이 관심과 소비자의 니즈가 맞물리며 고품질 컬래버레이션 상품이 등장하자 이를 재판매(리셀링)하는 시장 역시 커지는 것이다. 포브스 등에 따르면 협업과 한정판 마케팅이 활발한 스니커즈의 경우 재판매를 위한 2차 시장만도 10조원 규모에 이를 것으로 추정된다. 발매 당시 인기가 높아 구하기 어려웠던 물건일수록 시세가 오르는데 일례로 지난 2017년 명품 브랜드 루이비통과 스트리트패션 브랜드 슈프림이 협업한 ‘루이비통×슈프림’의 경우 당시 약 85만원에 팔렸던 지갑이 현재 500만원 3380달러(약 380만원)에 판매된 백팩이 1800만원에 거래되고 있다. 이런 시세차익을 노리고 제품 자체에는 큰 관심도 없으면서 일단 물건을 산 후 웃돈을 비싸게 얹어 되파는 리셀러들이 대거 등장해 진짜 소비자들이 피해를 본다는 지적이다. /김경미기자 kmkim@sedaily.com
"집안 싸움 끝낸 '비트코인캐시', 불안감 잠재울 수 있을까",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130175207620&section=&limit=30&page=1,지난 26일(현지시간) 비트코인SV(BSV) 진영의 코인긱(CoinGeek)은 공식 홈페이지를 통해 “해시 전쟁은 끝났다”며 “비트코인캐시로부터의 영구적인 하드포크를 위해 힘쓸 것”이라고 입장을 밝혔다. 이어 “비트코인SV 체인을 발굴해 독자적인 생태계를 구축하겠다”고 공식 선언했다. SV 진영의 대표주자 크레이그 라이트는 29일(현지시간) 본인의 트위터를 통해 “비트코인SV의 2년 목표는 200만에서 400만 TPS 달성과 블록 채굴 보상 50만 개 돌파 그리고 블록 확장성 개선을 위한 프로젝트 ‘테라노드 비트코인’의 완성”이라고 밝혔다.비트코인SV 측은 안정성을 위해 ‘리플레이 방지’ 코드를 추가할 계획이다. 앞서 크레이그 라이트는 비트코인캐시 하드포크가 시작되기 전 리플레이 방지 코드를 넣지 않겠다고 선언하며 비트코인캐시로부터 분기되지 않고 계속 해시 전쟁을 이어나갈 것을 선언한 바 있다. 스티브 셰더스 BSC 프로젝트 기술이사는 “안정성을 무시하고 리플레이 방지를 하고 있지 않은 비트코인ABC와 달리 비트코인SV는 투자자들과 기업의 신뢰를 위해 리플레이 방지를 도입할 것”이라고 밝혔다. 리플레이 방지란 하드포크로 분리된 체인 한쪽이 다른 쪽을 공격하기 위해 중복으로 출금하는 리플레이 공격을 막을 수 있는 방지 코드를 도입하는 것을 말한다. 방지 코드를 넣지 않은 체인은 같은 지갑 주소를 사용하기 때문에 개인 간 송금 시 중복 지급 등의 문제가 발생한다.전문가들은 이번 비트코인캐시 하드포크 사태가 작업증명(PoW) 합의방식 내 거버넌스의 한계를 명확히 드러냈다고 평가한다. 생태계 내 다른 많은 참여자들의 의지와는 관계없이 소수가 가진 컴퓨팅 파워가 생태계를 좌우할 수 있음을 보여줬기 때문이다. PoW는 모든 노드가 컴퓨팅 파워를 이용해 블록 생성에 자유롭게 참여할 수 있는 합의방식이다. PoW가 지금껏 탈중앙화 합의방식으로 인정받을 수 있었던 이유는 누구나 채굴 가능하며 해시파워가 분산되어 있어 채굴자들이 자발적으로 해당 체인의 가치를 높이는 행동을 할 것이라고 가정했기 때문이다. 그러나 압도적인 컴퓨팅 파워를 가진 비트메인(Bitmain)과 같은 거대 플레이어가 시장에 진입하면서 PoW의 탈중앙성이 약해질 수 있다는 것이 이번 사태에서 확인되었다.PoW 방식의 또 다른 문제점은 비트코인에서 하드포크돼 생기는 모든 체인에 비트코인 채굴자들이 압도적으로 영향력을 미칠 수 있다는 것이다. 비트코인닷컴의 로저버가 비트코인(BTC)을 채굴하던 해시파워를 비트코인캐시를 채굴하는 데 돌려 사용했듯 채굴자들은 비슷한 구조를 가진 체인에서 채굴할 수 있다. 하드포크돼 나온 체인의 경우 본래의 체인보다 작은 해시파워가 투입되기 때문에 본래 체인의 채굴자들이 압도적 힘을 이용해 51% 공격을 하는 것도 가능한 시나리오다. 꼭 금전적 이윤 추구의 목적이 아니더라도 감정적 갈등으로 공격이 일어날 수 있다. 이는 이번 비트코인캐시 분쟁에서도 일부 확인되었다.탈중앙화 디지털 자산이란 비트코인의 본래 정신을 이어가겠다고 외치는 비트코인캐시 두 진영의 싸움은 오히려 비트코인 합의방식의 한계를 보여주며 끝났다. 카이스트 사이버 보안센터의 조사 결과에 따르면 PoW와 PoS방식을 이용하는 블록체인만 68개다. 일부 전문가들은 “비트코인캐시가 이미 탈중앙화의 가능성을 잃었다”며 “비트코인캐시는 사라지게 될 것”이라고 비관적인 전망을 내놓기도 했다. 블룸버그는 “줄다리기의 여파를 우려한 이들은 양쪽 네트워크에서 모두 이탈했다”고 지적했다. 정순형 온더 대표는 “하드포크로 일어난 해시파워 전쟁이 건강한 생태계의 모습은 아니지만 자유롭게 담합해서 분리해 나가는 과정도 탈중앙화가 가능해서 이루어진 상황”이라고 설명했다./민서연기자 minsy@decenter.kr
"삼바-금융당국, '강대강 국면'..불확실성 지속",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130174524456&section=&limit=30&page=1,"【서울=뉴시스】이윤희 기자 = 삼성바이오로직스가 결국 한국거래소 기업심사위원회(기심위)에 넘겨저 상장적격성 실질심사를 받게됐다. 삼성바이오로직스는 고의적으로 회계분식을 했다고 결론지은 금융당국과 '강대강' 국면을 이어가고 있는 상황에서 상장폐지 우려까지 발생해 불확실성은 더욱 높아졌다는 지적이 나온다.거래소는 30일 삼성바이오로직스가 기심위 심사 대상이라고 밝혔다.기심위는 통지일로부터 20일 영업일 이내인 내달 31일까지 상장 적격성 심사를 마쳐야한다. 하지만 특별한 이유가 있으면 심사 기간이 한 달 연장될 수도 있다. 상장폐지가 결정될 수도 있는 심사 기간이 길어져 불확실성이 확대된 셈이다. 회사와 금융당국이 강대강 대치를 이어가고 있는 상황이라 우려가 더욱 높다. 금융위 산하 증권선물위원회는 지난 14일 삼성바이오로직스가 지난 2015년 자회사 회계 기준 변경 과정에서 고의적으로 분식회계를 저질렀다고 결론 내렸다. 삼성바이오에피스에 대한 지배력 변경의 정당성을 확보하기 위해 회계처리 기준을 자의적으로 해석해 의도적으로 회계원칙을 위반했다는 판단에서다.하지만 고의적 회계분식 혐의를 줄곧 부인해온 삼성바이오로직스는 증선위 결론을 수용할 수 없다는 입장을 밝혔다. 상장기업이 금융당국의 결정에 반기를 들며 대치하는 이례적인 상황이 연출됐다.김태한 삼성바이오로직스 사장은 증선위 발표 다음날 ""회계처리가 기업회계 기준을 위반하지 않았다는 점에 대해 확신을 갖고 있다""며 전 임직원에게 이메일을 보내기도 했다.줄다리기는 계속됐다. 지난 20일 증선위가 회계처리 기준 위반 혐의로 삼성바이오로직스를 검찰에 고발하자 회사는 당일 홈페이지를 통해 행정소송과 집행정지에 나서겠다고 밝혔다. 실제 지난 27일 서울행정법원에 행정소송을 제기하고 집행정지신청서를 냈다.삼성바이오로직스는 이날 거래소의 결정과 관련해서도 ""매매정지 기간이 장기화돼 유감스럽게 생각한다""며 우려를 밝히고 ""기심위가 당사를 상장적격 기업으로 판단해 시장의 우려를 해소시켜 줄 것을 기대한다""고 입장을 냈다.sympathy@newsis.com "
"은행권, '기준금리 인상'에 예·적금 금리도 올려",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130173919270&section=&limit=30&page=1,"【서울=뉴시스】천민아 기자 =시중은행의 예·적금 금리가 30일 연이어 인상됐다.우리은행·신한은행·카카오뱅크·케이뱅크 등 은행권은 이날 한은의 금리인상에 따라 예·적금 금리를 올린다고 발표했다. 우리은행과 신한은행은 다음달 3일부터 가입하는 상품에 대해 예·적금 금리를 0.1%p에서 최고 0.3%p까지 올린다.우리은행은 적금 31개 정기예금 16개 등 47개 상품 금리를 올린다. 위비슈퍼 주거래 적금Ⅱ는 최고 연 2.4%에서 최고 연 2.7%로 위비슈퍼 주거래 예금Ⅱ는 최고 연 2.1%에서 최고 연 2.4%로 인상한다. 우리 첫거래 감사적금은 최고 연 3.0%에서 최고 연 3.2%로 올라간다.신한은행 역시 예·적금 금리를 일제히 인상했다. 신한은행 관계자는 ""한은 기준금리 인상에 따라 적립예금과 정기예금 상품 금리를 인상했다""고 말했다.카카오뱅크는 당장 내일부터 예·적금 상품 금리를 최대 0.5%p로 인상한다. 정기예금 금리는 만기 기간에 상관없이 0.3%p 오른다. 자유적금 상품도 만기 기간에 따라 최대 0.5%p까지 오른다.케이뱅크는 다음달 3일부터 최고 0.3%p까지 예적금 금리를 올린다. 코드K정기예금 자유적금 등 상품 금리가 일제히 상승했다.mina@newsis.com "
시중은행 예적금 금리 줄줄이 올린다..한은 금리인상 반영(종합2보),http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130173741211&section=&limit=30&page=1,"(서울=연합뉴스) 구정모 김경윤 한혜원 기자 = 한국은행이 기준금리를 인상함에 따라 주요 시중은행들이 예·적금 상품의 금리를 덩달아 올린다. 우리은행은 다음달 3일부터 적금과 정기예금 금리를 최고 0.3%포인트 인상한다고 30일 밝혔다.이날 한국은행의 기준금리 인상에 따라 우리은행은 적금 상품 31개와 정기예금 상품 16개의 금리를 올리기로 했다.주요 상품으로 '위비Super 주거래 적금Ⅱ'는 최고 연 2.4%에서 최고 연 2.7%로 '우리 첫 거래 감사적금'은 최고 연 3.0%에서 최고 연 3.2%로 '위비Super 주거래 예금Ⅱ'는 최고 연 2.1%에서 최고 연 2.4%로 각각 오른다.판매 중인 예·적금 상품 대부분이 금리가 0.1∼0.3%포인트 오른다.우리은행 관계자는 ""서민들이 재산 형성을 위해 주로 가입하는 적금과 정기예금의 금리를 인상했다""라며 ""서민들의 재산 형성에 도움이 되는 상품과 서비스를 지속해서 제공할 계획""이라고 말했다.신한은행도 다음달 3일부터 예·적금 금리를 0.1∼0.3%포인트 올릴 계획이다.영업점 창구와 인터넷뱅킹 등으로 3일부터 가입하는 적립예금과 정기예금 상품이 인상 대상이다.KB국민은행은 다음달 6일부터 정기예금 금리를 약 0.25%포인트 올린다.이에 따라 'KB 스마트폰 예금' 금리가 현행 최고 2.1%에서 2.35%로 조정된다. 정기예금 이외에도 각종 수신상품의 금리를 순차 인상할 계획이다.NH농협은행도 예·적금 금리 인상 폭을 고민하고 있다.농협은행 관계자는 ""부서 간 협의를 통해 최대한 빠른 시일 안에 기준금리 인상분을 예·적금 금리에 반영할 계획""이라고 밝혔다.KEB하나은행은 다음주 중 수신금리를 0.1∼0.3%포인트 인상할 계획이다.인터넷전문은행도 예금금리 인상을 발표했다. 카카오뱅크는 다음달 1일부터 정기예금 금리를 만기 기간에 관계없이 0.3%포인트씩 올리고 자유적금은 만기 기간에 따라 0.3∼0.5%포인트씩 인상한다. 케이뱅크는 다음달 3일부터 자유적금과 정기예금 금리를 0.2∼0.3%포인트씩 올린다고 밝혔다. heeva@yna.co.kr<저작권자(c) 연합뉴스 무단 전재-재배포 금지>"
"JP모간 ""한은 기준금리 내년 0.25%p 추가 인상 가능성""",http://m.finance.daum.net/m/news/news_content.daum?type=main&sub_type=&docid=MD20181130170133103&section=&limit=30&page=2,"(서울=연합뉴스) 박진형 기자 = JP모간은 한국은행의 기준금리가 내년 하반기에 0.25%포인트 추가로 인상될 가능성이 있다고 30일 전망했다.박석길 JP모간 이코노미스트는 이날 한은 금융통화위원회가 발표한 통화정책 방향 의결문과 이주열 한은 총재의 기자간담회 발언은 ""추가 금리 인상 여지가 있음을 시사한다""고 평가했다.그는 ""내년 중반에 경제성장률과 물가가 예상된 경로와 비슷하다고 한은이 공식화할 경우 매파적 신호가 다시 대두할 것""이라고 설명했다.그는 내년 성장률이 잠재성장률 수준에 달하면 하반기에 기준금리가 0.25%포인트 추가 인상될 것이라면서 정확한 인상 시기는 성장률 수치에 달려있다고 분석했다.한편 한은은 이날 기준금리를 연 1.50%에서 연 1.75%로 올렸다. jhpark@yna.co.kr<저작권자(c) 연합뉴스 무단 전재-재배포 금지>"
