title,link,content
[MT리포트]주택연금 때문에 나이 늘리는 어르신,https://m.news.naver.com/read.nhn?oid=008&aid=0004140707&sid1=101&sid2=259&mode=LS2D,"[머니투데이 이학렬 기자] [편집자주] 나이는 숫자 그 이상이다. 한살의 차이로 신분과 혜택이 갈린다. '고령사회'를 맞아 노인 복지혜택이 확대되면서 한 살이라도 높여 수혜를 입고자 하는 사람들까지 나타나고 있다. 인구구조와 정책변화가 불러온 새로운 사회현상을 들여다본다.[[나이의 사회학⑥]3억원짜리 아파트 1950년생 월수령액 84.5만원 1947년생일 땐 96만원…생년 조정후 가입시 유리]#주택연금 가입을 고려중인 A씨는 최근 솔깃한 얘기를 들었다. 주민등록상 생년이 잘못돼 있다는 사실을 알고 있는 지인이 생년을 정정한 다음에 주택연금에 가입하면 더 많은 연금을 받을 수 있다고 조언한 것. 주택연금 가입자가 늘어나면서 주택연금을 더 많이 받기 위해 불편하지만 생년을 조정하는 사례가 나타나고 있다. 19일 주택금융공사에 따르면 지난 9월말 주택연금 누적 가입자는 5만7064명이다. 2007년 7월 출시이후 매년 가입자가 늘었고 올해 1월 5만명을 넘어선 뒤로 꾸준히 가입자가 늘고 있다. 주택연금이란 만 60세 이상의 어르신이 소유한 주택을 담보로 평생 혹은 일정한 기간 동안 매달 연금방식으로 노후생활자금을 지급받는 국가 보증의 역모기지론이다. 주택연금 수령액은 가입시점의 나이 집값 장기 집값 상승률 금리수준 등에 영향을 받는다. 특히 나이가 많을수록 수령액이 늘어난다. 이는 주택연금 수령액이 가입자가 기대수명만큼 사는 것을 가정해 결정되기 때문이다. 예컨대 3억원짜리 아파트를 가지고 주택연금에 가입했다면 1950년 1월1일생은 매달 84만5580원을 받는다. 하지만 1947년 1월1일생이면 월 지급금이 96만30원으로 10만원 이상 불어난다. 나이를 3년 늘리면 연간 137만원 이상 더 받을 수 있는 셈이다. 다만 주택연금에 가입한 이후 생년월일을 조정하면 수령액을 바꾸긴 어렵다. 주택연금은 가입시점을 기준으로 수령액이 결정되기 때문이다. 주택금융공사 관계자는 ""생년월일을 조정한 후 연금 수령액을 바꿀 수 있는 규정이 없다""며 ""주택연금은 가입한 이후 수령액이 변동되지 않기 때문에 법원 결정이 나도 수령액을 바꾸긴 어려울 것""이라고 말했다. 법원은 생년월일 조정에 엄격한 잣대를 들이대고 있지만 나이를 증명할 수 있는 증거만 명확하면 생년월일을 조정해주고 있다. 특히 옛날에는 갓난아이들이 사망하는 사례가 많아 출생신고를 2~3년 늦게 하는 경우가 많아 생년월일 조정 사례가 늘어나고 있다.생년월일 조정을 전문적으로 담당하는 법무법인도 생겨나고 있다. 변호사의 도움을 받으면 비용이 늘어나지만 나이가 늘어남에 따라 생기는 부수 효과까지 고려하면 이득을 볼 수 있다. 예컨대 생년월일을 조정하면 국민연금 등 연금을 일찍 받을 수 있다. 국민연금은 1952년생까지는 만 60세부터 수령할 수 있고 1953~1956년생은 만 61세부터 수령할 수 있는 등 생년에 따라 수급연령이 달라진다. 이밖에 생년을 조정하면 지하철 무임승차를 할 수 있는 등 혜택을 받을 수 있어 은퇴한 어르신들이 제 나이를 찾기 위해 변호사를 찾는다.     이학렬 기자 tootsie@<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이 무단전재 및 재배포 금지> "
"금융위 ""은행업 경쟁 부족""…인터넷은행 인가방안 이달 발표 ",https://m.news.naver.com/read.nhn?oid=215&aid=0000710545&sid1=101&sid2=259&mode=LS2D,"국내 은행들의 경쟁력이 미흡하다는 전문가들의 분석이 나왔습니다.이에 금융당국은 이달 중 인터넷 전문은행을 신규 인가하는 방안을 발표하기로 했습니다.금융위원회는 이 같은 내용을 담은 은행업 경쟁도 평가 결과를 오늘(2일) 공개했습니다.외부 전문가 11인으로 구성된 금융산업 경쟁도 평가위원회는 지난 9월부터 은행업에 대한 경쟁도를 평가한 결과 ""경쟁이 충분하지 않다""고 결론 내렸습니다.시장집중도를 판단하는 대표적 지수인 HHI지수는 1233~1357을 기록해 '경쟁시장'과 '다소 집중된 시장'의 경계선에 있었습니다.'은행이 고객만족도 제고를 위해 경쟁하는지'를 묻는 설문에는 '보통 이하(46.7점)'라는 답이 평균을 기록했습니다.평가위는 이런 분석 결과를 토대로 은행 산업의 경쟁도를 끌어올리고자 신규 진입을 허용하는 방안을 고려할 수 있다고 판단했습니다.구체적으론 시중은행이나 지방은행에 대한 신규 인가보다 혁신을 선도하거나 기존 은행 시스템을 보완할 수 있는 소형은행이나 전문화된 은행이 적절하다고 평가했습니다.금융당국은 이 평가 결과를 바탕으로 이달 중 인터넷전문은행 신규 인가 방안을 추진하며 평가위는 내년 1분기까지 금융투자업과 중소금융 분야에 대한 경쟁도 평가를 진행할 계획입니다.박해린기자 hlpark@wowtv.co.kr▶  ▶ ⓒ 한국경제TV 무단 전재 및 재배포 금지"
은행권 기술금융 대출 100조원 육박,https://m.news.naver.com/read.nhn?oid=030&aid=0002764288&sid1=101&sid2=259&mode=LS2D,기업의기술투자를 지원하는 은행권 기술금융 대출 규모가 100조원에 근접했다.2일 한국금융연구원 금융브리프의 '은행권 기술금융 현황과 발전방안'에 따르면 올해 상반기 말 기준 기술금융 대출 규모는 99조4000억원으로 2014년 말(4조7000억원) 대비 21배 증가했다.기술금융 투자 규모도 올해 상반기 누적액이 2조4000억원으로 집계됐다. 기술금융은 기업 기술투자를 지원하는 정책금융으로 크게 투자와 대출로 나뉜다.기존 기업대출보다 유리한 조건으로 혁신창업기업 등에 대해 기술금융 대출이 이뤄지는 것으로 나타났다.기술금융 대출 평균금리는 3.48%(2018년 상반기 기준)로 일반 중소기업 대출보다 0.2%포인트(P) 낮다. 대출한도는 평균 4억1000만원으로 일반 중소기업 대출 한도인 2억6000만원 대비 높았다기술금융을 지원받는 기업 가운데 창업한 지 7년이 되지 않고 매출액도 100억원 이하인 초기기업 비중은 절반 수준인 47.3%에 달한다.다만 기술금융의 지속 발전을 위해서는 은행들의 인센티브 구조를 바꿔야 한다는 지적도 나온다.이대기 금융연구원 선임연구위원은 “중장기적으로 기술금융 실적 평가순위에 따른 금전적 보상과 페널티를 단계적으로 축소해야 한다”며 “명예에 초점을 둔 포상제도를 실시해 은행들의 자발적인 기술금융 활성화를 유도할 필요가 있다”고 제언했다.길재식 금융산업 전문기자 osolgil@etnews.comS 
상장사마다 미성년 주주 580명,https://m.news.naver.com/read.nhn?oid=029&aid=0002495502&sid1=101&sid2=259&mode=LS2D,[디지털타임스 김민주 기자] 국내 주요 상장사에 20세 미만 미성년자 주주가 평균 580명가량씩 있는 것으로 집계됐다. 2일 한국예탁결제원의 증권정보 포털 '세이브로'에 따르면 지난해 말 현재 시가총액 상위 100대 상장사 중 연령별 주주 현황이 있는 54곳의 20세 미만 주주는 모두 3만1471명이었다. 상장사 1곳당 평균 583명꼴이다. 미성년자 주주가 가장 많은 곳은 시총 1위인 삼성전자로 2142명에 달했다.삼성물산(2091명) LG전자(1760명) 삼성바이오로직스(1652명) 한국항공우주(1496명) 등이 그 뒤를 이었다. 또 LG화학(1492명) LG디스플레이(1273명) 맥쿼리인프라(1239명) 신라젠(1104명) 등도 미성년자 주주가 1000명을 넘었다.이들 미성년자 주주 3만여명이 보유한 주식은 모두 497만1013주로 작년말 현재 주가로 2535억원 규모다.상장사별로 보면 삼성전자의 경우 미성년자 주주 2142명이 보유한 주식 가치가 437억원으로 1인당 2000만원 수준이었다.고려아연은 미성년자 주주 1인당 보유 주식 가액이 4241만원으로 가장 컸다. 고려아연은 미성년자 주주 197명이 1만6945주를 보유해 1인당 보유물량이 평균 86주였는데 작년 말 현재 주가는 49만3000원이었기 때문이다.고려아연 다음으로 신라젠(2986만원) 한국타이어(2314만원) 삼성전자(2040만원) LG생활건강(1639만원) 삼성에스디에스(1638만원) 넷마블(1285만원) 엔씨소프트(1161만원) 등 순으로 1인당 보유주식 가액이 컸다.이처럼 미성년자가 수천만원대 상장사 주식을 보유한 것은 증여나 상속을 통한 사례가 적지 않은 것으로 추정된다. 국세청의 2016년 '증여재산가액 등 규모별 신고인원 현황'을 살펴보면 주택이나 예금 주식 등을 증여받은 20세 미만은 7143명에 달했고 이 가운데는 10세 미만도 2549명이나 포함됐다.이 중 1억원 넘게 증여를 받은 경우는 2698명이었다. 특히 10억원 초과자도 163명이나 있었고 50억원 초과자도 14명 포함됐다. 국세청은 최근 고가 주택 및 고액 예금 보유자와 함께 주식 편법 증여자 등 미성년자 204명을 상대로 세무조사에 착수했다.김민주기자 stella2515@dt.co.kr  / 
주가부양 1.5조나 썼는데… 한치 앞 안보이는 현대車 주가,https://m.news.naver.com/read.nhn?oid=029&aid=0002495501&sid1=101&sid2=259&mode=LS2D,"[디지털타임스 김민주 기자] 현대자동차가 올 들어 주가부양을 위해 쏟아 부은 자금만 1조500억원이 넘는 것으로 나타났다. 정의선 현대차 총괄 수석부회장이 주가부양에 총력을 기울이고 있지만 주가 향방은 여전히 '오리무중'이다. 2일 금융감독원 전자공시시스템에 따르면  올 들어 현대차는 자사주취득에 약 5700억원을 투입을 결정했다. 현대차는 지난달 30일 보통주 213만6681주와 우선주 63만2707주 등 총 276만9388주를 이달 3일부터 내년 2월 말까지 장내매수 방법으로 매입한다고 공시했다. 자사주취득액 규모는 2500억원에 달한다. 이는 지난 4~7월 자사주 매입에 나선지 4개월여만이다. 지난 4월에도 현대차는 3200억원 수준의 자사주취득을 결정했다. 올 들어서만 6000억원에 육박하는 금액을 자사주취득을 위해 쓰기로 결정한 것이다. 지난 4월에는 9700억원 규모의 자사주를 소각했다. 자사주 소각과 자사주 취득은 모두 유통주식수 감소로 이어지며 주가부양책의 일환으로 본다.올 들어서 현대차가 자사주 취득 및 소각에 쓴 돈만 1조5400억원에 달한다. 이는 1~3분기 연결 기준 누적 순이익(1조8483억원)의 80%를 넘어서는 수준이다. 3분기 연결 기준 현금성자산(9조3364억원)의 약 16%에 해당하는 금액이다. 여기다 현대차는 매년 중간배당(2700억원) 기말배당(1조800억원)을 합해 1조3500억원 규모의 배당금을 지급하고 있다. 하지만 공격적인 주가부양에도 연초 장중 16만7500원까지 치솟았던 주가는 지난달 22일 9만2500원까지 추락하며 심리적 지지선인 10만원마저 붕괴됐다. 지난 달 30일 자사주취득 소식에 주가가 7% 상승하긴 했지만 주가가 상승세를 지속할 수 있을지는 '미지수'라는 평가가 지배적이다.주가상승을 제한하는 악재들이 산재하기 때문이다. 도널드 트럼프 미국 대통령의 25% 관세 폭탄 우려는 최대 장애 요인으로 꼽힌다. 트럼프 대통령은 최근 제너럴모터스(GM)의 북미 공장 폐쇄 등을 계기로 수입차 관세 부과 조치를 시행할 수 있다는 뜻을 내비쳤다. 관세 폭탄이 현실화 될 경우 현대기아차는 2조~3조원에 달하는 관세 부담이 예상된다. 여기다 전체 수출의 30%가량을 차지하는 미국 시장에서의 타격도 불가피하다.미국 고속도로교통안전국(NHTSA)은 내년 초에 현대기아차의 리콜 과정이 적절했는지를 놓고 조사 결과를 발표한다. 현대차 과실이 인정되면 거액의 벌금과 손해배상 등으로 최소 조 단위 비용을 지출해야 한다.임은영 삼성증권 연구원은 ""최악의 시나리오는 리콜 시점 지연 및 범위 축소로 판명되면서 징벌적 배상이 요구되는 것""이라며 ""이 경우 벌금보다는 브랜드에 대한 타격으로 판매둔화가 우려돼 현재로서는 결과 발표 시점을 알 수 없다는 불확실성이 불안요인""이라고 말했다.다만 최근 미중 정상회담에서 양국의 갈등 해소 실마리를 찾으면서 소비심리 및 통화가치 회복 기대 등은 긍정적이다. 임 연구원은 ""미중 무역갈등 완화로 상반기 신흥시장 환율강세 및 소비심리 회복 현대차 지배구조재편 기대감 중국시장 보조금 등은 주가회복 요인""이라고 설명했다.김민주기자 stella2515@dt.co.kr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             / "
이 와중에… 소주성 직진하겠다는 홍남기,https://m.news.naver.com/read.nhn?oid=029&aid=0002495475&sid1=101&sid2=259&mode=LS2D,"홍남기 경제부총리 겸 기획재정부 장관 후보자(사진)는 2일 우리 경제 상황이 내년에도 녹록지 않을 것이라면서도 최저인금 인상 등 소득주도성장에 대해서는 고수한다는 입장을 내놨다. 홍 후보자는 이날 국회에 제출한 인사청문회 답변서를 통해 ""최근 우리 경제는 투자·고용 등 부진한 지표와 소비·수출 등 견조한 지표들이 혼재돼 있지만 전반적으로는 성장세가 약화하는 모습""이라고 진단했다. 또 내년 경제 전망과 관련해서는 ""미-중 통상마찰과 주요국 통화정책 정상화 등 대내외 리스크 확대를 고려하면 녹록치 않을 것""이라며 ""고용·분배 등 민생여건도 구조적 요인 등이 작용해 단기간에 개선되기 어려울 것""이라고 예상했다.홍 후보자는 또 민생경제에 어려움이 지속되고 있어 경제 상황을 엄중하게 인식하고 있다면서 '포용국가 건설'을 핵심 추진과제로 삼았다. 그는 ""우리 경제의 역동성과 포용성을 극대화해 함께 잘사는 포용 국가를 구현하는 것이 궁극적인 목표""라며 ""구체적으로 구조개혁과 체질개선을 통해 성장잠재력을 확충하고 경제 활력을 높이는 한편 성장의 과실을 함께 나누는 포용성을 강화하는 것이 시급하다""고 강조했다. 이어 문재인 정부 경제 정책 3대 축 중 하나인 소득주도성장은 소득분배와 왜곡·양극화 계층 이동 단절 등 구조적 문제를 해결하기 위해 계속 추진해야 한다고 밝혔다. 다만 급격한 최저임금 인상 등 속도에 대한 우려는 고민해야 한다고 강조했다. 홍 후보자는 ""저임금 근로자 생활안정 양극화 해소 등을 위해 최저임금 인상은 가야 할 방향""이라면서 ""시장에서 제기되고 있는 최저임금 인상속도에 대한 우려에 대한 고려도 필요하다""고 언급했다. 홍 후보자는 이어 근로시간 단축도 가야할 방향이지만 탄력적 근로시간제 단위기간 확대 등 제도 개선이 병행돼야 한다고 강조했다. 그는 ""현행 단위기간으로는 집중근로가 필요하거나 계절요인이 큰 업종을 중심으로 성수기 대응이 어렵다는 애로를 호소하는 만큼 탄력근로제 단위기간 확대가 필요하다""며 ""노사 의견을 수렴해 기업의 근로시간 활용의 유연성과 근로자의 노동권 보호가 조화되는 방향으로 제도개선 방안을 마련해 입법화를 조속히 완료해야 한다""고 강조했다.이외에도 재정확대를 추진하고 가상통화 과세는 인프라 구축과 국제 논의 동향 등을 감안해 구체적인 과세방안을 확정해야 한다고 밝혔다. 홍 후보자는 ""일자리 혁신성장 양극화 등 꼭 필요한 분야에 선제적 대응을 위해 재정확대를 추진할 것""이라면서 ""재정혁신과 세입확충을 통해 중장기 재정 건전성 강화를 위한 노력도 병행할 것""이라고 말했다. 그는 또 ""가상통화에 대한 적정과세를 위해 국세청 등 관계부처와 민간전문가로 구성된 태스크포스를 통해 외국의 과세사례 등을 검토하는 등 과세 방안을 준비 중""이라며 ""향후 과세인프라 구축 경과와 국제 동향 등을 봐가며 구체적 과세방안을 확정하는 게 바람직하다""고 말했다. 이어 가상통화 공개(ICO) 허용 여부에 대해서는 ""시장상황과 국제 논의 동향 투자자보호 문제 등을 종합적으로 감안해 신중히 접근해야 한다""면서 ""금융감독원의 실태조사 결과와 전문가 의견수렴 등을 거쳐 관계기관과 함께 향후 ICO 대응 방향을 검토해 나가겠다""고 덧붙였다. 조은국기자 ceg4204@dt.co.kr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   / "
은행 더 경쟁해야…금융당국 이달 말 인뱅 신규인가 방안 발표,https://m.news.naver.com/read.nhn?oid=016&aid=0001471328&sid1=101&sid2=259&mode=LS2D,은행업 경쟁 충분치 않아소형ㆍ전문화된 은행 진입 등 경쟁촉진 제언기존 은행수익성 개선으로 신규진입 감내 가능[헤럴드경제=문영규 기자]은행업의 경쟁상황이 충분치 않아 인가단위 세분화 소형ㆍ전문화된 은행 신규인가와 같은 대책이 필요하다는 분석이 나왔다. 이에 금융당국은 연말까지 인터넷전문은행 신규인가 방안을 발표하고 올 연말까지 은행업 경쟁 촉진에 나서기로 했다.금융위원회는 2일 외부 전문가 11인으로 구성된 ‘금융산업 경쟁도평가위원회’가 제출한 ‘은행업 경쟁도 평가 결과’를 발표하고 이같이 밝혔다.경쟁도평가위원회는 정량분석 및 정성평가 보조분석을 통해 은행업 경쟁도와 은행의 신규인가 가능성을 파악했다.보고서를 보면 은행업권은 시장집중도를 판단하는 HHI(허핀달-허쉬만 지수)가 1233에서 1357 수준으로 나타나 공정거래위원회 기준으로는 다소 집중된 시장으로 평가됐으나 미국 법무부 기준으로는 집중되지 않은 시장인 것으로 조사됐다.공정위는 HHI를 기업결합 심사시 활용하는데 1200이상 2500미만을 다소 집중된 시장으로 보고 있다. 미 법무부는 기업 합병 심사시 HHI를 쓰고 1500미만을 집중되지 않은 시장으로 정의한다.때문에 정량적 분석으로는 경쟁시장과 다소 집중된 시장의 경계선 상에 위치하고 있어 평가가 어려운 측면이 있다고 금융위는 설명했다. 다만 HHI 등 시장집중도가 매년 지속 증가 추세에 있고 지난 2015년 다소 집중된 시장으로 변화한 후 그 상태가 유지되고 있다는 점을 감안할 필요가 있다고 지적했다.시장구조 경영효율성 등에 대한 보조분석 결과 상위 6개 은행의 규모가 하위 은행들과 큰 격차를 유지하면서 비슷해지는 상태로 안정화되고 비용효율성 지표인 이익경비율(cost to income ratio)은 악화 추세를 보였다.이를 바탕으로 경쟁도평가위원회는 향후 경쟁유인이 부족할 가능성이 있고 효율 경영을 위한 자극이 필요하다고 봤다. 은행업 수익성도 개선돼 신규진입을 감내할 수 있다고도 판단했다.일반은행 및 3개 특수은행의 자기자본이익률(ROE)은 2016년 5.27%에서 지난해 7.02%로 올랐고 올 상반기도 9.47%로 상승했다.정성평가는 은행 소비자를 대상으로 설문조사가 이뤄졌다. 은행이 고객만족도 제고를 위해 경쟁하는지 여부에 대해 소비자들은 보통이하인 46.7점을 줬다.경쟁도평가위원회는 “구체적인 신규진입의 형태로는 시중은행 지방은행에 대한 신규인가보다는 혁신을 선도하거나 기존 은행 시스템을 보완할 수 있는 소형 전문화된 은행에 대한 신규인가가 보다 적절할 것”이라며 “단기적으로는 현행법상으로도 인가가 가능한 인터넷전문은행 신규인가를 고려할 수 있을 것이고 중장기적으로는 은행업 인가단위의 세분화를 고려할 수 있을 것”이라고 전했다.금융위는 이달 말 인터넷전문은행 신규인가 추진방안을 발표하고 내년 1분기까지 금융투자업 및 중소금융 경쟁도 평가도 실시할 계획이다.ygmoon@heraldcorp.com[사진=금융위원회]  - Copyrights ⓒ 헤럴드경제 & heraldbiz.com 무단 전재 및 재배포 금지 -
하나금융 모델에 '휠체어 펜싱' 김선미 선수,https://m.news.naver.com/read.nhn?oid=011&aid=0003456202&sid1=101&sid2=259&mode=LS2D,[서울경제] 하나금융그룹은 그룹과 KEB하나은행의 새 브랜드 모델로 휠체어 펜싱 선수 김선미씨를 발탁했다고 2일 밝혔다. 김씨는 중학교 3학년 때 사고로 왼쪽 다리를 잃은 뒤 다른 선수의 권유로 펜싱을 시작했다. 지난 2010년 광저우 장애인아시안게임 에페 개인전에서 은메달을 땄으며 2012년 런던 패럴림픽에서 국가대표로 활약했다. 올해 인도네시아 장애인아시안게임에서 남북 공동 입장 기수를 했고 여자 에페 개인전 동메달을 거머쥐었다. 하나금융 관계자는 “김씨의 이야기가 하나금융 경영철학인 휴머니티와 부합해 모델로 발탁했다”며 “기존 모델인 손흥민·김하온과 함께 활약할 것”이라고 설명했다. /김기혁기자 coldmetal@sedaily.com저작권자 ⓒ 서울경제 무단 전재 및 재배포 금지
수능생 위한 카드사 혜택 사라진 까닭은,https://m.news.naver.com/read.nhn?oid=009&aid=0004264158&sid1=101&sid2=259&mode=LS2D," ""신용카드 혜택들이 사라지기 전에 지금 가입하세요.""지난 1일 경기도 부천시 소재 A놀이공원 출입문 앞. 신용카드 모집인들이 놀이공원 할인 혜택을 누릴 수 있는 상품 가입을 방문객들에게 권유하고 있었다. 방문객들도 관심을 보이며 '이제 할인 서비스가 다 없어지는 것이냐'고 질문을 던졌다. 모집인들은 카드 혜택 변경·축소가 확정되기 전에 기존 상품 가입을 서두르라고 권장했다. 카드 가맹점 수수료 개편으로 인한 소비자 혜택 축소가 기정사실화하고 있다. 2일 금융업계에 따르면 카드사들은 총 1조4000억원에 달하는 수수료 수익 하락을 고려해 다양한 비용 절감 방안을 모색 중이다. 인건비 등 비(非)마케팅 비용도 도마에 올랐지만 일회성 마케팅 비용이 가장 먼저 줄어들 것으로 예상된다. 카드사가 줄일 마케팅비용은 크게 카드에 탑재된 부가서비스와 일회성 마케팅과 관련된 것이다. 일회성 마케팅은 특정 시기에 맞춰 할인이나 무이자 할부 등 혜택을 제공하는 이벤트를 뜻한다. 졸업·입학철 학생 대상 이벤트 겨울철 스키장 요금 여름철 워터파크 입장권 할인 등이다. 당장 매년 11월 등장했던 '수능 특별 이벤트'가 올해는 모습을 감췄다. 카드사들은 그동안 대학수학능력시험 전후로 미래 고객을 확보하는 차원에서 마케팅을 진행해 왔다. 추첨을 통한 해외 여행권부터 자동차학원 캐시백 혜택까지 다양한 서비스를 선보였다. 카드업계 관계자는 ""수수료 체계 개편이 예고된 상황이고 정부가 일회성 마케팅을 줄이라고 압박해 수능 관련 행사를 실시하기 어렵다""고 설명했다. 겨울철마다 카드사들이 제공해 온 스키장 이벤트도 내년에는 사라질 위기에 놓였다. 이벤트를 진행 중인 신용카드를 사용하면 스키장에서 리프트·장비 렌탈 비용을 적게는 30%에서 최대 60%까지 할인받을 수 있다. 통상 스키장 리프트·렌탈 비용은 어른 한 명당 10만원 수준이다. 스키장 관련 일회성 마케팅을 없애면 소비자 부담이 5만원 안팎으로 늘어나는 것이다. 특히 한 카드당 4명까지 할인을 해주는 경우가 많아 4인 가족으로 치면 수십만 원의 돈을 예년보다 더 지불해야 한다. 카드사와 스키장 운영사가 연간 계약을 맺고 있을 경우 당장 내년부터 이 같은 혜택이 사라질 수 있다. 카드사들은 신규 회원을 모집하기 위해 일회성 마케팅을 실시한다. 정부는 시장점유율을 높이기 위한 카드사들의 '과잉 마케팅'을 줄이면 가맹점들의 수수료 부담을 낮출 수 있다고 보고 있다. 카드에 탑재돼 있는 부가서비스도 수술대에 오른다. 금융당국은 '카드산업 건전화·경쟁력 제고 태스크포스(TF)'를 이번주 가동해 내년 1월까지 부가서비스 마케팅 구조 개편 방안을 마련할 계획이다. 탑재 부가서비스는 커피전문점·쇼핑·통신요금 할인 등 상시 이용할 수 있는 혜택이다. 일회성 마케팅과 달리 카드 상품 약관에 명시돼 있다. TF는 새로 출시되는 카드의 부가서비스와 함께 기존 상품들의 혜택을 줄일 수 있는 방법을 논의한다.그동안 카드업계는 특정 상품에서 적자가 나더라도 혜택을 유지해왔다. 부가서비스를 축소하려면 약관을 수정해야 하지만 당국이 약관 변경 자체를 승인해주지 않기 때문이다. 카드사는 카드상품을 출시한 후 3년간 해당 상품의 부가서비스를 의무적으로 유지해야 하고 이후 금감원의 승인을 받아 변경할 수 있다. 금융위원회 관계자는 ""부가서비스 현황을 조사해 과도한 부가서비스 관련 감축기준을 마련하겠지만 카드회원이 보편적으로 이용하는 부가서비스가 급격히 축소되는 경우가 발생하지 않도록 하겠다""고 설명했다. 따라서 항공 마일리지 무제한 적립 공항 VIP 라운지 무료 이용 등 금융당국이 꼽은 '비효율적' 부가서비스는 사라질 것으로 보인다. 앞서 금융 당국이 밝힌 대로 신용카드의 연회비도 오를 가능성이 크다.  [김강래 기자][ⓒ 매일경제 & mk.co.kr 무단전재 및 재배포 금지]"
은행 대출금리 인상 스타트,https://m.news.naver.com/read.nhn?oid=009&aid=0004264157&sid1=101&sid2=259&mode=LS2D," 한국은행이 기준금리를 0.25%포인트 올리면서 시중은행의 대출금리 인상 시기와 인상폭에 관심이 쏠리고 있다. 특히 총대출잔액이 600조원에 육박하는 자영업자들의 경우 부담이 늘어날 전망이다.2일 은행권에 따르면 자영업자대출 금리는 조만간 인상될 것으로 보인다. 시중은행 관계자는 ""자영업자대출 금리는 매일 변동하는 금융채 금리와 연동하는데 금융채 금리는 기준금리가 인상되면 함께 인상되는 경우가 많다""고 설명했다. 현재 자영업자대출 관련 금리가 이미 한은의 금리 인상을 선반영하고 있기 때문에 당장은 인상폭이 크지는 않겠지만 중장기적으로는 부담이 될 수밖에 없다는 것이다. 더구나 자영업자대출 금리는 오는 18일로 예정된 미국 연방공개시장위원회가 끝난 뒤 한 번 더 움직일 가능성이 크다. 자영업자대출 금리는 기준금리뿐 아니라 경기 전망을 반영한다. 이 때문에 미국 금리가 추가 인상될 경우 자영업자대출 금리 역시 요동칠 수 있다.최근 자영업자대출이 빠르게 늘어나고 있다는 점도 자영업자대출 부실화에 대한 우려가 커지는 이유다. 금융감독원 등 자료에 따르면 자영업자대출은 2분기 기준 전년 대비 15.6% 증가했다. 게다가 제2금융권에서 자영업자대출이 많이 취급된 점 역시 부담스럽다. 올해 2분기 말 기준으로 자영업자대출 증가율은 은행이 10.8%인 반면 농협이나 신협 등 상호금융이 45.7% 저축은행 41.3% 여신전문금융회사 15.9% 등 제2금융권이 상대적으로 높았다. 제2금융권 금리는 은행에 비해 높기 때문에 금리 인상에 따른 영향도 더 크게 받기 마련이다.3곳 이상 금융회사에서 대출을 받아 쓰는 다중채무자 역시 기준금리 인상에 취약하다. 금융사 1곳에서 받은 대출이 부실화하면 곧바로 다른 금융사까지 전염되기 때문이다. 현재 411만명에 달하는 것으로 집계된 다중채무자가 금융사에서 받은 대출 규모는 총 493조원으로 추산된다. 금융당국도 여러 금융권역에서 동시에 대출받은 사람의 경우 한 권역 대출 부실로 인한 도미노 현상이 발생할지를 예의 주시하고 있다. 가계대출에서 큰 비중을 차지하는 주택담보대출 금리는 12월 중순부터 상승할 것으로 예상된다. 우선 이달 15일 발표되는 코픽스 금리의 상승이 예상된다. 지난달 시중은행들이 한은의 금리 인상을 미리 반영해 예·적금 상품 금리를 일제히 올렸기 때문이다. 이에 더해 내년 1월 발표되는 12월 코픽스 금리 역시 한은 금리 인상 영향으로 더 오를 것으로 보인다. 주요 은행들은 지난달 30일 기준금리 인상에 맞춰 예·적금 금리를 0.1~0.3%포인트 올릴 예정이라고 발표한 바 있다. 시중은행 관계자는 ""한은의 기준금리 인상과 경기 침체가 겹친 만큼 자영업자와 다중채무자들의 채무 부실화를 막기 위한 대책이 필요하다""고 말했다. ■ <용어 설명>▷ 코픽스(COFIX) 금리 : 은행연합회가 8개 은행들로부터 정보를 제공받아 산출하는 자금조달비용지수로 주담대 금리산정의 기준이 된다.[김동은 기자][ⓒ 매일경제 & mk.co.kr 무단전재 및 재배포 금지]"
